DayNight,DayNumber,Depth,MaxN,SpeciesFull
Day,3,20,1,  sp1
Day,3,25,1,  sp1
Day,2,15,23,  sp2
Day,3,10,1,  sp2
Day,2,20,1,  sp3
Day,4,25,1,  sp4
Day,4,25,1,  sp5
Day,3,55,1,  sp6
Night,2,25,2,  sp6
Night,5,10,1,  sp6
Night,5,25,1,  sp6
Night,5,30,1,  sp6
Day,3,45,1,  sp7
Night,5,35,1,  sp7
Night,5,40,1,  sp7
Night,5,50,1,  sp7
Night,5,60,1,  sp7
Day,1,5,3,Acanthuridae Acanthurus blochii
Day,2,20,1,Acanthuridae Acanthurus lineatus
Day,1,10,2,Acanthuridae Acanthurus lineatus
Day,4,5,2,Acanthuridae Acanthurus mata
Day,1,5,1,Acanthuridae Acanthurus mata
Day,2,20,1,Acanthuridae Ctenochaetus striatus
Day,2,30,1,Acanthuridae Ctenochaetus striatus
Day,3,5,2,Acanthuridae Ctenochaetus striatus
Day,1,5,2,Acanthuridae Ctenochaetus striatus
Day,2,30,1,Acanthuridae Naso brachycentron
Day,3,25,3,Acanthuridae Naso brevirostris
Night,1,5,1,Acanthuridae Naso hexacanthus
Night,1,10,1,Acanthuridae Naso hexacanthus
Day,1,10,6,Acanthuridae Naso hexacanthus
Day,3,5,1,Acanthuridae Naso lituratus
Day,4,15,1,Acanthuridae Naso lituratus
Day,3,10,1,Acanthuridae Zebrasoma scopas
Day,4,5,1,Acanthuridae Zebrasoma scopas
Day,1,5,1,Acanthuridae Zebrasoma scopas
Night,1,5,1,Apogonidae Apogon sp1
Night,4,5,2,Apogonidae Apogon sp1
Day,1,5,3,Apogonidae Apogon sp1
Night,1,5,1,Apogonidae Apogon sp2
Night,3,55,1,Apogonidae Apogon sp3
Night,3,60,1,Apogonidae Apogon sp3
Night,4,60,1,Apogonidae Apogon sp3
Day,3,5,1,Balistidae Balistapus undulatus
Day,3,10,1,Balistidae Balistapus undulatus
Day,3,15,1,Balistidae Balistapus undulatus
Day,3,20,1,Balistidae Balistapus undulatus
Day,3,25,1,Balistidae Balistapus undulatus
Day,3,35,1,Balistidae Balistapus undulatus
Day,3,45,1,Balistidae Balistapus undulatus
Day,4,10,2,Balistidae Balistapus undulatus
Day,3,30,1,Balistidae Balistoides viridescens
Day,3,50,1,Balistidae Balistoides viridescens
Day,1,60,1,Balistidae Balistoides viridescens
Day,2,35,4,Balistidae Odonus niger
