,DayNight,DayNumber,Depth,sp6,sp7,Balistidae Balistapus undulatus,Balistidae Sufflamen sp1,Fistulariidae Fistularia commersonii,Holocentridae Myripristis violacea,Labridae  sp1,Lethrinidae  sp1,Lutjanidae Lutjanus monostigma,Mullidae Parupeneus multifasciatus,Nemipteridae Scolopsis sp3,Pomacanthidae Centropyge sp1,Pomacentridae Amblyglyphidodon aureus,Pomacentridae Chromis sp1,Pomacentridae Dascyllus trimaculatus,Pomacentridae Neoglyphidodon melas,Pomacentridae Pomacentrus moluccensis,Zanclidae Zanclus cornutus,Cumulative,Richness,
10,Night,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14,Night,5,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22,Night,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1
23,Night,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
38,Day,4,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
40,Night,5,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
45,Night,1,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
47,Night,3,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1
51,Day,4,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,1
53,Night,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1
54,Night,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1
58,Night,3,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1
63,Day,1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1
65,Night,2,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
66,Night,5,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
67,Night,5,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1
71,Day,1,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,1
74,Day,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1
75,Night,1,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1
76,Night,1,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
77,Night,1,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
86,Night,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
