Time of Day,Day,Video,New_name,Depth,Seconds,Substrate_type,Processor
Day,2,2018-12-15_13.17.35,VAN_2018-12-15_15m,15,0,Algae,Tess
Day,2,2018-12-15_13.17.36,VAN_2018-12-15_15m,15,15,Algae,Tess
Day,2,2018-12-15_13.17.37,VAN_2018-12-15_15m,15,30,Algae,Tess
Day,2,2018-12-15_13.17.39,VAN_2018-12-15_15m,15,60,Algae,Tess
Day,2,2018-12-15_13.22.57,VAN_2018-12-15_20m,20,120,Algae,Tess
Day,1,2018-12-14_14.20.39,VAN_2018_12_14_20m,20,120,Algae,Char
Day,1,2018-12-14_14.29.06,VAN_2018_12_14_15m,15,0,Algae,Char
Day,1,2018-12-14_14.29.06,VAN_2018_12_14_15m,15,15,Algae,Char
Day,1,2018-12-14_14.29.06,VAN_2018_12_14_15m,15,60,Algae,Char
Day,1,2018-12-14_14.29.06,VAN_2018_12_14_15m,15,75,Algae,Char
Day,1,2018-12-14_14.29.06,VAN_2018_12_14_15m,15,90,Algae,Char
"Day
",2,2018-12-15_13.26.49,VAN -2018-12-15_25m,25,0,Algae,Tess
"Day
",2,2018-12-15_13.26.49,VAN -2018-12-15_25m,25,75,Algae,Tess
Night,1,2018-12-14_19.20.47,VAN_2018_12_14_10m,10,165,Algae,Char
Night,1,2018-12-14_19.11.47,VAN_2018_12_14_20m,20,0,Algae,Char
Night,1,2018-12-14_19.11.47,VAN_2018_12_14_20m,20,165,Algae,Char
Night,1,2018-12-14_19.08.04,VAN_2018_12_14_25m,25,120,Algae,Char
Night,1,2018-12-14_19.08.04,VAN_2018_12_14_25m,25,135,Algae,Char
Night,1,2018-12-14_19.08.04,VAN_2018_12_14_25m,25,150,Algae,Char
Night,1,2018-12-14_19.08.04,VAN_2018_12_14_25m,25,180,Algae,Char
Night,1,2018-12-14_18.42.47,VAN_2018_12_14_35m,35,60,Algae,Char
Night,1,2018-12-14_18.42.47,VAN_2018_12_14_35m,35,150,Algae,Char
Night,2,2018-12-15_19.35.03-converted,VAN_2018-12-15_15m,15,0,Algae,Tess
Night,2,2018-12-15_19.35.03-converted,VAN_2018-12-15_15m,15,15,Algae,Tess
Night,2,2018-12-15_19.35.03-converted,VAN_2018-12-15_15m,15,30,Algae,Tess
Night,2,2018-12-15_19.35.03-converted,VAN_2018-12-15_15m,15,45,Algae,Tess
Night,2,2018-12-15_19.38.05-converted,VAN_2018-12-15_20m,20,15,Algae,Tess
Night,2,2018-12-15_19.38.05-converted,VAN_2018-12-15_20m,20,75,Algae,Tess
Night,2,2018-12-15_19.38.05-converted,VAN_2018-12-15_20m,20,120,Algae,Tess
Night,2,2018-12-15_19.38.05-converted,VAN_2018-12-15_20m,20,135,Algae,Tess
Night,2,2018-12-15_19.38.05-converted,VAN_2018-12-15_20m,20,150,Algae,Tess
Day,3,2018-12-16_15.03.11-converted,VAN_2018-12-16_25m,25,15,Algae,Tess
Night,5,2018-12-18_20.03.23-converted,VAN_2018-12-18_20m,20,0,Algae,Tess
Night,5,2018-12-18_20.03.23-converted,VAN_2018-12-18_20m,20,15,Algae,Tess
Night,5,2018-12-18_20.03.23-converted,VAN_2018-12-18_20m,20,30,Algae,Tess
Night,5,2018-12-18_20.03.23-converted,VAN_2018-12-18_20m,20,45,Algae,Tess
Night,5,2018-12-18_20.03.23-converted,VAN_2018-12-18_20m,20,90,Algae,Tess
